Qual é um exemplo de fake scarcity?,Fake_scarcity,Hidden_Costs
Qual é um exemplo de Hidden_Costs?,Hidden_Costs,Confirmshaming1
Qual é um exemplo de Disguised ads?,Hard_to_cancel,Disguised_ads
Qual é um exemplo de Fake Social Proof?,Fake_Social_Proof,Nagging
Qual é um exemplo de Nagging?,Forced_action,Nagging
Qual é um exemplo de confirmshaming?,Confirmshaming2,Fake_Urgency
Qual é um exemplo de Fake Urgency?,Disguised_ads,Fake_Urgency
Qual é um exemplo de Comparison Prevention?,Forced_action,Comparison_prevention
Qual é um exemplo de Forced Action?,Forced_action,Fake_Urgency
Qual é um exemplo de Hard to cancel?,Hard_to_cancel,Fake_scarcity
Qual é um exemplo de Nagging?,Nagging,Hidden_Costs
Qual é um exemplo de Hidden_Costs?,Hard_to_cancel,Fake_Social_Proof
Qual é um exemplo de confirmshaming?,Confirmshaming1,Comparison_prevention